timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.68634E+12,14092,HTTP Request-1,200,OK,BLC 1-57,text,TRUE,,177583,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,2535,0,162
1.68634E+12,14787,HTTP Request,200,OK,BLC 1-3,text,TRUE,,177953,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,101,0,50
1.68634E+12,101,HTTP Request-0,301,Moved Permanently,BLC 1-3,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,101,0,50
1.68634E+12,14686,HTTP Request-1,200,OK,BLC 1-3,text,TRUE,,177604,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,2412,0,150
1.68634E+12,14296,HTTP Request,200,OK,BLC 1-52,text,TRUE,,177933,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,99,0,51
1.68634E+12,99,HTTP Request-0,301,Moved Permanently,BLC 1-52,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,99,0,51
1.68634E+12,14196,HTTP Request-1,200,OK,BLC 1-52,text,TRUE,,177584,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,1777,0,152
1.68634E+12,14582,HTTP Request,200,OK,BLC 1-26,text,TRUE,,177932,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,101,0,49
1.68634E+12,101,HTTP Request-0,301,Moved Permanently,BLC 1-26,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,101,0,49
1.68634E+12,14481,HTTP Request-1,200,OK,BLC 1-26,text,TRUE,,177583,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,2269,0,147
1.68634E+12,14652,HTTP Request,200,OK,BLC 1-23,text,TRUE,,177948,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,102,0,51
1.68634E+12,102,HTTP Request-0,301,Moved Permanently,BLC 1-23,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,102,0,51
1.68634E+12,14550,HTTP Request-1,200,OK,BLC 1-23,text,TRUE,,177599,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,2121,0,144
1.68634E+12,14390,HTTP Request,200,OK,BLC 1-55,text,TRUE,,177940,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,99,0,53
1.68634E+12,99,HTTP Request-0,301,Moved Permanently,BLC 1-55,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,99,0,53
1.68634E+12,14290,HTTP Request-1,200,OK,BLC 1-55,text,TRUE,,177591,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,2505,0,162
1.68634E+12,14694,HTTP Request,200,OK,BLC 1-25,text,TRUE,,177940,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,100,0,46
1.68634E+12,100,HTTP Request-0,301,Moved Permanently,BLC 1-25,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,100,0,46
1.68634E+12,14593,HTTP Request-1,200,OK,BLC 1-25,text,TRUE,,177591,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,2807,0,169
1.68634E+12,14306,HTTP Request,200,OK,BLC 1-69,text,TRUE,,177948,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,100,0,50
1.68634E+12,100,HTTP Request-0,301,Moved Permanently,BLC 1-69,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,100,0,50
1.68634E+12,14205,HTTP Request-1,200,OK,BLC 1-69,text,TRUE,,177599,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,1824,0,185
1.68634E+12,14172,HTTP Request,200,OK,BLC 1-86,text,TRUE,,177963,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,118,0,59
1.68634E+12,118,HTTP Request-0,301,Moved Permanently,BLC 1-86,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,118,0,59
1.68634E+12,14054,HTTP Request-1,200,OK,BLC 1-86,text,TRUE,,177614,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,1723,0,155
